in:Design,in:Glazing ratio,out:Amount of surface energy loss [kWh/m2],out:EUI (SI) (kWh/m2),out:Annual Utility Cost (Euro/m2),out:Percentage of Time Comfortable,out:Percentage of Time Too Hot,out:Percentage of Time Too Cold,out:Amount of Lux average,img_1,img_2
Variant 1,30%,0.014,1233.177632,140.026461,65.21,4.86,29.93,328.93,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio30%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio30%_Parallel.png
Variant 2,30%,0.024,1732.268109,211.567105,73.97,2.95,23.08,189.36,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio30%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio30%_Parallel.png
Variant 3,30%,0.013,1188.06885,133.102562,64.47,4.39,31.14,317.52,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio30%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio30%_Parallel.png
Variant 4,30%,0.021,1641.138226,198.808877,74.05,2.89,23.06,178.35,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio30%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio30%_Parallel.png
Variant 5,30%,0.018,982.900969,133.980275,64.71,0.02,35.26,267.42,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio30%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio30%_Parallel.png
Variant 1,40%,0.02,1412.139214,165.081083,64.86,5.31,29.83,361.52,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio40%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio40%_Parallel.png
Variant 2,40%,0.04,2106.565982,263.968807,73.5,3.25,23.25,261.17,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio40%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio40%_Parallel.png
Variant 3,40%,0.017,1339.341697,154.280761,64.1,4.71,31.18,345.7,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio40%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio40%_Parallel.png
Variant 4,40%,0.036,1983.52243,246.742666,73.57,3.22,23.2,246.44,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio40%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio40%_Parallel.png
Variant 5,40%,0.025,1255.309693,172.117496,65.64,0.43,33.93,358.36,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio40%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio40%_Parallel.png
Variant 1,50%,0.027,1593.28674,190.441736,64.49,5.68,29.83,395.27,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio50%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio50%_Parallel.png
Variant 2,50%,0.064,2483.53243,316.74411,72.74,3.64,23.62,326.37,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio50%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio50%_Parallel.png
Variant 3,50%,0.023,1492.545539,175.729298,63.72,5,31.28,373.95,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio50%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant3_Glazingratio50%_Parallel.png
Variant 4,50%,0.059,2327.769201,294.937214,72.89,3.56,23.56,311.62,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio50%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant4_Glazingratio50%_Parallel.png
Variant 5,50%,0.033,1530.587159,210.656341,65.9,0.82,33.28,451.81,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio50%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant5_Glazingratio50%_Parallel.png
Variant 1,55%,0.052,1686.966649,203.556924,64.42,5.89,29.69,413.65,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio55%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant1_Glazingratio55%_Parallel.png
Variant 2,55%,0.102,2671.236756,343.022715,72.23,3.92,23.85,355.85,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio55%_Perspective.png,http://OMRTech.github.io/design_explorer_data/DefaultData/DesignVariant2_Glazingratio55%_Parallel.png
